day,entry_time,exit_time,entry,exit,shares,gross_pnl,cost,net_pnl,reason,generation,hold_seconds,profile
2026-07-13,2026-07-13T13:40:00+00:00,2026-07-13T14:00:00+00:00,752.77,753.77,2.6568540191559173,2.6568540191559173,0.0,2.6568540191559173,target,1,1200,trend_path|rb=True|bps=0.0|frac=True
2026-07-13,2026-07-13T14:02:00+00:00,2026-07-13T14:16:00+00:00,752.77,750.73,2.6603834557954698,-5.427182249822661,0.0,-5.427182249822661,trailing_stop,1,840,trend_path|rb=True|bps=0.0|frac=True
2026-07-13,2026-07-13T14:17:00+00:00,2026-07-13T14:19:00+00:00,750.92,751.92,2.659710317702729,2.659710317702729,0.0,2.659710317702729,target,2,120,trend_path|rb=True|bps=0.0|frac=True
2026-07-13,2026-07-13T14:35:00+00:00,2026-07-13T16:26:00+00:00,752.39,750.42,2.658048860414195,-5.2363562550160365,0.0,-5.2363562550160365,trailing_stop,4,6660,trend_path|rb=True|bps=0.0|frac=True
2026-07-13,2026-07-13T16:30:00+00:00,2026-07-13T19:38:00+00:00,749.85,748.03,2.660069381652357,-4.841326274607423,0.0,-4.841326274607423,trailing_stop,5,11280,trend_path|rb=True|bps=0.0|frac=True
2026-07-14,2026-07-14T13:42:00+00:00,2026-07-14T13:45:00+00:00,750.68,751.68,2.650678983797907,2.650678983797907,0.0,2.650678983797907,target,9,180,trend_path|rb=True|bps=0.0|frac=True
2026-07-14,2026-07-14T13:47:00+00:00,2026-07-14T14:16:00+00:00,750.68,748.97,2.6542100209692685,-4.538699135857244,0.0,-4.538699135857244,trailing_stop,9,1740,trend_path|rb=True|bps=0.0|frac=True
2026-07-14,2026-07-14T14:46:00+00:00,2026-07-14T14:58:00+00:00,750.94,751.94,2.6472470229383878,2.6472470229383878,0.0,2.6472470229383878,target,13,720,trend_path|rb=True|bps=0.0|frac=True
2026-07-14,2026-07-14T15:18:00+00:00,2026-07-14T16:02:00+00:00,752.01,750.26,2.6470006069444443,-4.632251062152777,0.0,-4.632251062152777,trailing_stop,14,2640,trend_path|rb=True|bps=0.0|frac=True
2026-07-14,2026-07-14T16:46:00+00:00,2026-07-14T17:09:00+00:00,751.18,752.18,2.6437587201018915,2.6437587201018915,0.0,2.6437587201018915,target,17,1380,trend_path|rb=True|bps=0.0|frac=True
2026-07-14,2026-07-14T17:35:00+00:00,2026-07-14T19:55:00+00:00,751.99,752.1,2.6444266999378194,0.29088693699319623,0.0,0.29088693699319623,end_of_day,18,8400,trend_path|rb=True|bps=0.0|frac=True
2026-07-15,2026-07-15T13:38:00+00:00,2026-07-15T14:19:00+00:00,754.53,755.53,2.6359101971071186,2.6359101971071186,0.0,2.6359101971071186,target,19,2460,trend_path|rb=True|bps=0.0|frac=True
2026-07-15,2026-07-15T14:23:00+00:00,2026-07-15T15:17:00+00:00,754.53,752.23,2.6394036436196586,-6.070628380325095,0.0,-6.070628380325095,trailing_stop,19,3240,trend_path|rb=True|bps=0.0|frac=True
2026-07-15,2026-07-15T15:22:00+00:00,2026-07-15T15:33:00+00:00,752.77,753.77,2.637510265871403,2.637510265871403,0.0,2.637510265871403,target,20,660,trend_path|rb=True|bps=0.0|frac=True
2026-07-15,2026-07-15T15:50:00+00:00,2026-07-15T17:46:00+00:00,752.77,753.77,2.6410140057466256,2.6410140057466256,0.0,2.6410140057466256,target,20,6960,trend_path|rb=True|bps=0.0|frac=True
2026-07-15,2026-07-15T18:44:00+00:00,2026-07-15T19:55:00+00:00,754.15,754.45,2.639683255468586,0.7919049766407559,0.0,0.7919049766407559,end_of_day,22,4260,trend_path|rb=True|bps=0.0|frac=True
